eleccion;comuna;cut_comuna;region;cut_region;candidatura;votos;votos_comuna;votos_comuna_mayoria;ganador_comuna
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Franco Aldo Parisi;754;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Gabriel Boric;2586;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Jose Antonio Kast;3596;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Marco Enriquez-Ominami;693;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Sebastian Sichel;1693;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Votos En Blanco;40;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Votos Nulos;59;10603;3596;Jose Antonio Kast
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Yasna Provoste;1067;10603;3596;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Eduardo Artes;91;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Franco Aldo Parisi;1243;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Gabriel Boric;1304;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Jose Antonio Kast;1365;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Marco Enriquez-Ominami;620;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Sebastian Sichel;736;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Votos En Blanco;40;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Votos Nulos;98;6439;1365;Jose Antonio Kast
Primera vuelta;Calle Larga;5302;Valparaíso;5;Yasna Provoste;942;6439;1365;Jose Antonio Kast
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Eduardo Artes;6;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Franco Aldo Parisi;375;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Gabriel Boric;111;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Jose Antonio Kast;252;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Marco Enriquez-Ominami;53;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Sebastian Sichel;57;1067;375;Franco Aldo Parisi
